Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
321.0,Kenny Satterfield (2002-03),21.0,PHI,PG,17.0,0.0,4.8,0.2,1.1,0.222,0.0,0.0,,0.2,1.1,0.222,0.222,0.1,0.1,0.5,0.2,0.2,0.5,0.9,0.1,0.0,0.4,0.4,0.5,,2002-03
322.0,John Crotty (2002-03),33.0,DEN,PG,12.0,0.0,15.0,1.2,3.4,0.341,0.3,1.1,0.308,0.8,2.3,0.357,0.39,0.8,1.3,0.6,0.1,1.2,1.3,2.4,0.3,0.0,0.8,1.3,3.4,,2002-03
323.0,Dan Gadzuric (2002-03),24.0,MIL,C,49.0,30.0,15.5,1.4,3.0,0.483,0.0,0.0,0.0,1.4,2.9,0.486,0.483,0.6,1.1,0.518,1.3,2.7,4.0,0.2,0.4,1.1,0.6,2.6,3.4,,2002-03
324.0,Nate Huffman (2002-03),27.0,TOR,C,7.0,0.0,10.9,1.3,3.6,0.36,0.0,0.0,,1.3,3.6,0.36,0.36,0.7,1.1,0.625,1.3,2.0,3.3,0.7,0.1,0.4,0.4,1.9,3.3,,2002-03
325.0,Avery Johnson (2002-03),37.0,DAL,PG,48.0,0.0,9.0,1.3,3.1,0.42,0.0,0.0,0.0,1.3,3.1,0.426,0.42,0.6,0.8,0.769,0.2,0.4,0.6,1.3,0.3,0.0,0.6,0.5,3.3,,2002-03
326.0,Tayshaun Prince (2002-03),22.0,DET,SF,42.0,5.0,10.4,1.3,2.8,0.449,0.5,1.1,0.426,0.8,1.7,0.465,0.534,0.3,0.4,0.647,0.1,1.0,1.1,0.6,0.2,0.3,0.5,0.6,3.3,,2002-03
327.0,Bobby Simmons (2002-03),22.0,WAS,SG,36.0,2.0,10.5,1.2,3.1,0.393,0.0,0.1,0.0,1.2,3.0,0.411,0.393,0.9,1.0,0.914,0.9,1.2,2.1,0.6,0.3,0.1,0.2,1.4,3.3,,2002-03
328.0,Mike Wilks (2002-03),23.0,2TM,SG,46.0,7.0,15.0,1.1,3.2,0.338,0.2,0.8,0.286,0.9,2.5,0.354,0.372,0.8,1.0,0.787,0.4,1.1,1.5,2.0,0.6,0.1,0.6,1.5,3.2,,2002-03
328.0,Mike Wilks (2002-03),23.0,ATL,SG,15.0,7.0,24.3,1.9,5.4,0.358,0.4,1.1,0.353,1.5,4.3,0.359,0.395,1.4,1.9,0.724,0.6,2.1,2.7,2.8,1.1,0.1,1.1,2.5,5.7,,2002-03
328.0,Mike Wilks (2002-03),23.0,MIN,PG,31.0,0.0,10.5,0.7,2.2,0.313,0.1,0.6,0.222,0.5,1.6,0.347,0.343,0.5,0.6,0.889,0.4,0.6,1.0,1.6,0.4,0.1,0.4,1.0,2.0,,2002-03
